MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
3.0574,33.8,4.177,1.4263,289,3.0147,36.0581,-120.9911,2.348
4.3837,39.2,5.2083,1.7498,259,1.0667,41.5318,-120.815,2.141
3.7696,52.0,3.7737,1.294,1757,2.791,39.4539,-123.9582,2.034
0.5,21.4,5.8943,1.8737,654,1.3174,38.1873,-123.2495,1.344
5.1265,17.7,3.5371,1.0263,326,2.6475,33.9822,-122.4718,2.663
4.7627,22.9,2.981,0.5719,1139,3.7273,33.9819,-115.7029,3.131
2.1094,20.9,3.1502,0.5877,274,3.3727,33.0518,-123.8343,0.894
0.6825,5.4,4.2014,0.9265,104,4.1112,40.7287,-121.3636,1.101
3.2211,47.6,7.3039,2.4109,127,2.2463,38.2106,-124.3932,2.965
3.4167,23.0,4.8988,0.9769,623,2.6729,39.2267,-117.1959,3.101
1.997,26.1,4.1191,0.791,488,2.4873,32.6956,-117.9868,2.355
3.0978,35.5,4.8738,1.2925,481,3.0046,41.7141,-117.7277,2.286
5.7563,44.6,3.0527,0.5992,934,1.4485,40.4082,-120.569,2.989
14.5598,14.1,2.5029,0.6655,85,2.3794,34.5172,-122.3132,5.0
3.0127,32.3,3.3365,0.9352,1134,2.5777,34.2273,-116.9366,3.441
3.434,13.4,3.256,0.7189,314,2.7742,34.2423,-115.9833,2.462
1.5271,32.0,12.932,3.1149,696,1.773,35.3903,-123.0447,1.643
1.9137,31.5,10.6834,2.601,1389,3.9607,37.4852,-119.3883,2.808
2.4714,22.3,10.6393,1.8522,2746,2.4475,36.6035,-121.8885,1.82
6.1991,30.8,3.045,0.5253,254,2.8885,35.2667,-122.7349,3.071
4.8224,31.0,9.9932,1.7958,1708,1.5457,38.3126,-116.7896,4.287
10.4913,27.0,3.7247,1.1226,1174,1.8393,33.8252,-118.85,4.982
0.9578,25.5,9.5636,2.9033,547,2.2209,35.2754,-122.2301,0.908
1.0761,11.6,5.903,1.3924,1135,4.7438,35.9804,-121.245,1.012
5.8794,14.9,3.3301,0.5175,402,3.2565,36.8327,-114.3501,3.446
7.4947,20.6,9.6023,1.4666,223,4.629,39.9592,-115.5889,4.677
2.7821,15.9,9.449,3.23,1960,1.6852,34.3969,-115.2606,2.59
0.5,21.1,3.2404,0.6344,525,5.4538,37.3852,-119.6699,1.866
1.6153,27.1,5.6421,1.0359,3877,3.2328,38.1279,-117.95,2.083
3.4378,29.1,2.2824,0.5,3037,3.7135,32.9413,-120.5439,2.09
1.4483,34.7,4.229,1.2259,190,1.3696,38.2717,-123.684,1.211
3.0944,29.9,4.2411,1.2532,3460,1.4054,34.12,-120.2888,2.296
10.2676,29.4,4.2055,1.4369,572,1.9057,33.118,-118.2632,4.953
7.3765,34.4,9.4377,3.0063,1060,2.9486,41.5144,-121.485,3.545
4.7885,17.0,2.9027,0.5,948,3.3595,41.6735,-115.5965,3.488
2.5984,18.0,4.5288,1.4162,249,2.566,40.1798,-122.9134,1.589
1.9227,23.5,6.6988,2.3008,451,1.6846,35.3938,-120.6451,1.793
4.6201,19.6,2.9268,0.7468,2215,3.9496,33.4279,-123.1885,2.122
2.767,7.0,3.4785,0.6356,895,2.9715,39.0002,-120.2493,2.63
2.8343,34.9,7.7376,1.5201,184,1.5528,36.6814,-124.0836,1.958
0.9177,16.0,8.4823,2.6934,1740,1.2448,33.6594,-121.6382,1.469
1.6484,49.7,4.1649,1.4298,200,1.9997,37.2042,-120.2923,2.383
4.6011,30.0,6.9797,2.3814,1716,1.7332,32.8267,-119.4793,3.327
1.2577,10.0,9.2323,2.3004,3097,2.5244,41.1385,-118.7912,1.385
3.2739,36.0,4.2086,1.1505,237,2.7938,34.9584,-121.6126,2.114
3.6283,28.4,6.7982,1.9293,2046,2.1,38.794,-119.0081,3.283
3.7796,31.5,4.1824,0.9823,1748,2.9904,35.4613,-119.1555,2.458
4.0236,22.0,2.8826,0.9736,3948,2.4576,37.4406,-121.1801,3.104
4.2182,16.8,4.9602,1.5565,200,1.511,37.6937,-115.7829,3.979
1.7565,10.5,4.4917,0.7946,178,2.0902,34.2561,-118.7708,2.275
0.973,12.6,3.419,0.6034,358,2.5478,41.7111,-121.0112,0.972
1.4748,11.6,4.3245,1.1336,212,1.64,39.8638,-114.5529,2.461
4.531,23.7,4.5235,1.1634,9792,2.7603,41.4252,-115.6263,3.324
1.1728,27.4,5.5371,0.8514,704,6.5808,41.0009,-114.1828,2.238
1.312,9.4,7.5067,1.8098,724,4.4951,38.18,-117.2315,1.948
1.307,38.8,7.5104,2.5508,3417,3.2541,41.2578,-120.5287,1.833
0.7466,29.7,4.7845,1.1439,375,4.4295,33.3407,-121.551,1.423
1.2179,52.0,3.9797,1.1318,1065,3.0266,34.3618,-117.5352,2.367
5.4755,23.1,8.4651,2.4617,139,2.8496,32.9297,-114.2014,3.677
1.6459,52.0,4.7594,0.7429,485,2.5274,35.5906,-117.9195,1.622
0.7991,37.0,3.9007,0.8026,3778,3.8604,36.1924,-115.243,2.137
1.9,4.5,5.3019,1.79,2461,3.2866,35.0778,-121.0444,1.217
3.886,13.7,2.3862,0.6014,1072,1.5198,40.373,-120.227,2.654
0.7546,31.8,4.1047,1.4193,571,1.8869,35.8892,-114.9841,2.059
5.2979,7.0,3.995,1.3143,711,5.2405,35.1689,-116.5529,3.205
0.9914,17.2,3.6116,0.7444,1047,2.3689,37.6556,-114.1952,2.202
2.0609,8.9,5.7662,1.1727,100,2.7545,33.8388,-116.365,2.759
2.0426,52.0,7.6218,1.6842,3550,1.9158,40.1209,-119.7906,2.557
1.8349,41.2,9.7476,2.4545,140,3.9945,33.2082,-118.9238,1.904
2.5977,23.9,4.0622,1.3381,206,3.0012,41.8754,-115.0446,2.857
4.6879,46.1,4.4233,1.1071,89,2.4291,39.8363,-118.7077,3.456
2.6417,43.1,3.7739,1.1574,1343,3.0568,34.3878,-121.8183,2.285
1.779,43.7,6.1426,1.6326,4709,2.2425,32.5525,-119.926,0.88
3.744,21.3,2.3467,0.5,182,2.095,40.2469,-119.0787,3.484
3.1427,24.3,4.239,0.9933,367,1.517,39.2151,-123.4844,2.528
1.7012,14.8,5.5655,1.2941,383,3.0482,39.4256,-116.6905,2.217
2.8,26.6,3.8603,1.3452,306,3.9961,39.8271,-123.3518,2.124
1.6054,18.2,4.172,1.0846,571,2.9018,33.2034,-120.2484,1.449
1.4829,15.1,7.3636,1.216,562,1.926,35.9054,-116.0515,2.811
4.7782,41.6,4.8418,1.2827,1602,2.5112,33.6008,-119.5905,3.037
3.7168,36.1,7.9875,2.103,651,5.0008,40.6995,-115.6588,2.488
4.6612,17.4,9.5347,2.3464,156,3.1815,38.4213,-120.9102,2.853
4.2401,39.3,6.1243,1.3114,2473,1.179,35.6435,-114.4448,4.196
1.4607,31.7,4.4092,0.88,2743,2.0529,33.1038,-122.3006,0.987
5.4789,24.2,9.3246,1.7821,389,1.206,35.4543,-124.0982,3.047
2.2071,47.1,1.8029,0.5,1623,4.3621,35.5892,-115.3395,3.108
5.2093,31.7,2.6627,0.6009,2141,2.4567,39.4313,-116.6019,3.942
2.4903,49.3,6.7405,1.9812,630,3.2497,38.5568,-122.0642,2.069
3.3845,34.8,13.3259,3.5438,425,2.7439,40.9285,-114.1602,3.151
3.4565,35.8,6.5079,0.9958,3050,1.9146,36.986,-119.2261,2.422
4.803,15.1,5.333,1.6897,627,4.4144,33.6361,-114.5138,3.56
0.8657,21.3,4.1099,0.9452,2167,1.5865,39.2758,-119.1972,1.676
0.9017,45.5,6.1872,1.7976,7777,1.2739,39.7275,-119.5453,1.977
4.3501,41.9,7.8714,2.383,1589,3.4903,37.8321,-119.784,4.071
3.4884,23.7,6.6825,1.6393,158,3.5972,39.8242,-120.9838,2.455
1.5794,11.8,5.0791,1.5668,281,2.7099,37.1911,-118.8961,2.311
3.5079,47.9,7.4888,2.0365,270,3.5811,37.466,-119.7482,3.17
1.0145,40.8,5.5958,1.7307,1063,1.6893,36.5616,-124.1142,1.298
15.0,14.3,6.074,1.7409,88,1.8404,32.7415,-121.7654,5.0
6.808,14.3,7.3031,1.3346,670,2.1412,33.525,-122.2622,2.911
4.2022,50.0,3.4088,0.6755,323,1.3828,32.7986,-115.3919,2.852
2.8661,21.9,4.9089,1.1533,70,4.3476,38.5459,-118.2119,2.531
1.7628,22.1,5.1838,1.1705,632,2.4489,35.4864,-116.4813,2.287
1.0864,19.8,3.064,0.65,157,1.622,37.3314,-114.4533,2.154
2.5101,32.3,3.2031,0.7771,276,1.3105,41.1219,-117.7376,2.185
1.4891,11.2,3.8561,0.9804,1448,1.9349,34.8683,-114.1826,2.01
1.5511,30.9,7.5131,2.4944,538,2.7436,36.3986,-121.2265,1.755
1.0083,11.1,4.5801,0.9619,2061,1.6877,39.6777,-122.5442,1.675
3.2374,11.2,5.2173,0.8399,1532,2.6999,34.6736,-120.2652,2.484
2.0878,11.6,5.6034,1.1915,2072,2.1983,33.2313,-119.5566,1.718
3.9533,12.1,6.3755,1.8695,2340,3.177,35.2526,-115.0987,2.622
3.7433,36.7,6.0524,1.37,457,1.4007,34.0316,-118.6206,3.198
3.1919,36.7,5.0885,0.9608,514,1.288,41.3321,-121.4321,2.171
15.0,26.0,4.6863,1.066,236,3.5693,40.1771,-116.7023,5.0
4.8384,20.4,7.6738,2.2561,953,1.8567,38.5173,-119.1888,2.69
1.1248,44.6,4.0668,0.6861,724,6.3955,40.7789,-122.7976,1.461
3.7476,36.3,8.534,2.4674,222,1.5469,40.1349,-118.4434,2.402
2.6174,13.9,3.9419,0.6982,743,4.001,34.2724,-114.9304,2.501
1.0628,32.2,4.4217,1.5298,1682,4.4454,40.9793,-115.6525,1.699
1.0049,31.6,6.5753,1.5705,467,1.9424,37.6238,-118.3385,1.961
3.7331,36.6,12.7574,2.9129,749,3.136,40.1707,-120.5406,2.624
4.4295,52.0,2.2831,0.6097,942,2.2866,41.0129,-123.5867,2.034
1.3069,18.2,7.0029,1.2527,1155,3.677,35.521,-119.5687,1.657
5.3608,34.7,5.9838,1.2956,1171,1.921,33.5455,-116.6032,3.475
3.3183,46.0,4.1316,1.0923,455,2.9131,34.6654,-120.7171,2.433
6.2783,48.6,5.7183,0.9367,71,1.9355,36.5575,-122.0278,3.6
5.8284,30.2,3.0637,0.6168,353,5.8173,40.2711,-114.7205,4.006
2.4329,12.3,3.6069,0.8998,416,3.6026,40.6769,-115.8737,2.521
8.5414,6.5,5.8779,1.6734,2578,2.3172,32.566,-117.7981,4.33
1.2375,37.9,3.3091,0.7027,210,4.068,37.3521,-123.0638,1.888
14.4863,32.1,5.2614,1.4471,2909,1.9896,36.4654,-122.9785,5.0
1.4694,29.5,3.798,0.7606,1152,2.741,34.61,-123.4162,2.315
